Month,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow
Jan-2024,100000,-50000,-20000,30000
Feb-2024,120000,-30000,-25000,65000
Mar-2024,90000,-40000,-22000,28000
Apr-2024,110000,-45000,-18000,47000
May-2024,130000,-35000,-28000,67000
Jun-2024,125000,-42000,-30000,53000
Jul-2024,115000,-38000,-24000,53000
Aug-2024,105000,-41000,-26000,38000
Sep-2024,118000,-36000,-23000,59000
Oct-2024,122000,-39000,-27000,56000
Nov-2024,128000,-43000,-29000,56000
Dec-2024,135000,-45000,-31000,59000
